Titel,Kontext,Frage,Antwort
"Auflösung des Lehrvertrages in der Probezeit","In der Schweiz kann der Lehrvertrag während der Probezeit jederzeit und ohne Angabe von Gründen aufgelöst werden. Die Probezeit dauert in der Regel ein bis drei Monate, kann aber auch bis zu sechs Monaten verlängert werden. Nach Ablauf der Probezeit kann der Vertrag nur noch bei schwerem Fehlverhalten oder bei Einverständnis beider Parteien aufgelöst werden.","Wie lange dauert die Probezeit für einen Lehrvertrag in der Schweiz?","Die Probezeit dauert in der Regel ein bis drei Monate, kann aber auch bis zu sechs Monaten verlängert werden."
"Auflösung des Lehrvertrages nach der Probezeit","Nach Ablauf der Probezeit ist die Auflösung eines Lehrvertrages in der Schweiz wesentlich schwieriger. Sie kann nur bei schwerem Fehlverhalten des Lehrlings oder bei Einverständnis beider Vertragsparteien erfolgen. In solchen Fällen muss eine schriftliche Kündigung erfolgen, und es gelten bestimmte Kündigungsfristen.","Unter welchen Bedingungen kann ein Lehrvertrag in der Schweiz nach Ablauf der Probezeit aufgelöst werden?","Sie kann nur bei schwerem Fehlverhalten des Lehrlings oder bei Einverständnis beider Vertragsparteien erfolgen."
"Einseitige Auflösung des Lehrvertrages","In der Schweiz kann der Lehrvertrag während der Probezeit jederzeit einseitig aufgelöst werden. Nach der Probezeit ist eine einseitige Auflösung des Lehrvertrages nur unter bestimmten Bedingungen möglich, wie zum Beispiel bei schwerem Fehlverhalten des Lehrlings.","Wann kann ein Lehrvertrag in der Schweiz einseitig aufgelöst werden?","In der Schweiz kann der Lehrvertrag während der Probezeit jederzeit einseitig aufgelöst werden. Nach der Probezeit ist eine einseitige Auflösung des Lehrvertrages nur unter bestimmten Bedingungen möglich, wie zum Beispiel bei schwerem Fehlverhalten des Lehrlings."
"Bedingungen für die einseitige Auflösung des Lehrvertrages","Eine einseitige Auflösung des Lehrvertrages nach der Probezeit ist in der Schweiz nur bei schwerem Fehlverhalten des Lehrlings möglich. Dazu zählen zum Beispiel wiederholte Verstöße gegen die Arbeitsordnung oder die Verpflichtungen aus dem Lehrvertrag.","Was sind die Bedingungen für eine einseitige Auflösung des Lehrvertrages nach der Probezeit in der Schweiz?","Eine einseitige Auflösung des Lehrvertrages nach der Probezeit ist in der Schweiz nur bei schwerem Fehlverhalten des Lehrlings möglich. Dazu zählen zum Beispiel wiederholte Verstöße gegen die Arbeitsordnung oder die Verpflichtungen aus dem Lehrvertrag."
"Auflösung des LV aufgrund von Krankheit","Im schweizerischen Recht kann ein Lehrvertrag aufgrund von Krankheit aufgelöst werden, wenn diese Krankheit eine dauerhafte Unfähigkeit zur Ausübung der Ausbildung verursacht. Dies muss jedoch durch ein ärztliches Attest bestätigt werden. Diese Regelung gilt für alle Lehrlinge in der Schweiz.","Kann im schweizerischen Recht ein Lehrvertrag aufgrund von Krankheit aufgelöst werden?","Im schweizerischen Recht kann ein Lehrvertrag aufgrund von Krankheit aufgelöst werden, wenn diese Krankheit eine dauerhafte Unfähigkeit zur Ausübung der Ausbildung verursacht."
"Auswirkung der Krankheit auf den Lehrvertrag","Ein Lehrvertrag in der Schweiz kann nur aufgrund von Krankheit aufgelöst werden, wenn ein ärztliches Attest vorliegt, das eine dauerhafte Unfähigkeit zur Ausübung der Ausbildung bestätigt. Ohne ein solches Attest kann der Vertrag nicht aufgelöst werden.","Was benötigt man, um einen Lehrvertrag in der Schweiz aufgrund von Krankheit aufzulösen?","Ein Lehrvertrag in der Schweiz kann nur aufgrund von Krankheit aufgelöst werden, wenn ein ärztliches Attest vorliegt, das eine dauerhafte Unfähigkeit zur Ausübung der Ausbildung bestätigt."
"Berufsmaturitätsschule (BMS) in der Schweiz","In der Schweiz ermöglicht die Berufsmaturitätsschule (BMS) den Zugang zu den Fachhochschulen. Es ist eine Ergänzung zur beruflichen Grundbildung und vermittelt zusätzliches, allgemeinbildendes Wissen. Lehrlinge haben die Möglichkeit, die BMS parallel zur Lehre zu besuchen.","Was ermöglicht die Berufsmaturitätsschule (BMS) in der Schweiz?","In der Schweiz ermöglicht die Berufsmaturitätsschule (BMS) den Zugang zu den Fachhochschulen."
"Berufsmaturitätsschule (BMS) und Lehre","Die Berufsmaturitätsschule (BMS) ist eine Ergänzung zur beruflichen Grundbildung in der Schweiz. Sie vermittelt zusätzliches, allgemeinbildendes Wissen. Lehrlinge können die BMS parallel zur Lehre besuchen.","Können Lehrlinge in der Schweiz die Berufsmaturitätsschule (BMS) parallel zur Lehre besuchen?","Lehrlinge können die BMS parallel zur Lehre besuchen."
"Berufsbildner/-in in der Schweizer Lehrlingsausbildung","Gemäß schweizerischem Recht ist ein Berufsbildner/-in entscheidend für die Ausbildung von Lehrlingen. Er oder sie führt die Lehrlinge durch ihre Ausbildung und stellt sicher, dass die Lernziele erreicht werden. Sollte ein Berufsbildner/-in fehlen, muss der Betrieb einen Ersatz finden, um die Ausbildung fortzusetzen.","Was passiert, wenn ein Berufsbildner/-in in der Schweizer Lehrlingsausbildung fehlt?","Sollte ein Berufsbildner/-in fehlen, muss der Betrieb einen Ersatz finden, um die Ausbildung fortzusetzen."
"Auswirkung des Fehlens eines Berufsbildners/-in auf die Lehrlingsausbildung","In der schweizerischen Lehrlingsausbildung spielt der Berufsbildner/-in eine wichtige Rolle. Sollte ein Berufsbildner/-in fehlen, muss der Betrieb einen Ersatz finden, um sicherzustellen, dass die Lehrlinge weiterhin die erforderlichen Lernziele erreichen.","Was ist die Rolle eines Berufsbildners/-in in der schweizerischen Lehrlingsausbildung?","Der Berufsbildner/-in führt die Lehrlinge durch ihre Ausbildung und stellt sicher, dass die Lernziele erreicht werden."
