Titel,Kontext,Frage,Antwort
"Fehlbetrag in der Kasse und schweizerisches Lehrlingsgesetz","Nach schweizerischem Recht ist ein Lehrling für einen Fehlbetrag in der Kasse verantwortlich, wenn nachgewiesen wird, dass er oder sie fahrlässig oder absichtlich gehandelt hat. In solchen Fällen kann der Arbeitgeber den Betrag vom Lohn des Lehrlings abziehen. Es ist jedoch wichtig zu beachten, dass der Arbeitgeber den Nachweis erbringen muss, dass der Lehrling fahrlässig oder absichtlich gehandelt hat.","Was sagt das schweizerische Gesetz zum Fehlbetrag in der Kasse für Lehrlinge?","Nach schweizerischem Recht ist ein Lehrling für einen Fehlbetrag in der Kasse verantwortlich, wenn nachgewiesen wird, dass er oder sie fahrlässig oder absichtlich gehandelt hat."
"Verantwortung für den Fehlbetrag in der Kasse in der Schweiz","In der Schweiz ist ein Lehrling für einen Fehlbetrag in der Kasse verantwortlich, wenn nachgewiesen wird, dass er oder sie fahrlässig oder absichtlich gehandelt hat. Der Arbeitgeber kann den Betrag vom Lohn des Lehrlings abziehen, muss aber den Nachweis erbringen, dass der Lehrling fahrlässig oder absichtlich gehandelt hat.","Wer ist in der Schweiz für den Fehlbetrag in der Kasse verantwortlich?","In der Schweiz ist ein Lehrling für einen Fehlbetrag in der Kasse verantwortlich, wenn nachgewiesen wird, dass er oder sie fahrlässig oder absichtlich gehandelt hat."
"Feiertage und Freitage im schweizerischen Lehrlingsgesetz","Nach schweizerischem Recht haben Lehrlinge Anspruch auf bezahlte Feiertage. Wenn ein Feiertag auf einen Freitag fällt, haben die Lehrlinge das Recht auf einen freien Tag und erhalten den regulären Lohn für diesen Tag.","Was sagt das schweizerische Gesetz zu Feiertagen und Freitagen für Lehrlinge?","Nach schweizerischem Recht haben Lehrlinge Anspruch auf bezahlte Feiertage. Wenn ein Feiertag auf einen Freitag fällt, haben die Lehrlinge das Recht auf einen freien Tag und erhalten den regulären Lohn für diesen Tag."
"Feiertage und Freitage für Lehrlinge in der Schweiz","In der Schweiz haben Lehrlinge Anspruch auf bezahlte Feiertage. Dies gilt auch, wenn der Feiertag auf einen Freitag fällt. In diesem Fall haben die Lehrlinge das Recht auf einen freien Tag und erhalten ihren regulären Lohn.","Wie sind Feiertage und Freitage für Lehrlinge in der Schweiz geregelt?","In der Schweiz haben Lehrlinge Anspruch auf bezahlte Feiertage. Dies gilt auch, wenn der Feiertag auf einen Freitag fällt."
"Ferienabzug bei Krankheit nach schweizerischem Lehrlingsgesetz","Nach schweizerischem Recht kann ein Arbeitgeber die Ferien eines Lehrlings nur dann kürzen, wenn der Lehrling wegen Krankheit, Unfall oder Schwangerschaft mehr als einen Monat lang arbeitsunfähig war. Der Abzug kann jedoch nur für die Tage erfolgen, die über diesen einen Monat hinausgehen.","Wie ist der Ferienabzug bei Krankheit für Lehrlinge in der Schweiz geregelt?","Nach schweizerischem Recht kann ein Arbeitgeber die Ferien eines Lehrlings nur dann kürzen, wenn der Lehrling wegen Krankheit, Unfall oder Schwangerschaft mehr als einen Monat lang arbeitsunfähig war."
"Bedingungen für Ferienabzug bei Krankheit für Lehrlinge in der Schweiz","In der Schweiz ist es für einen Arbeitgeber zulässig, die Ferien eines Lehrlings zu kürzen, wenn der Lehrling aufgrund von Krankheit, Unfall oder Schwangerschaft mehr als einen Monat lang arbeitsunfähig war. Der Abzug darf allerdings nur für die Tage vorgenommen werden, die über diesen einen Monat hinausgehen.","Unter welchen Bedingungen darf in der Schweiz ein Ferienabzug bei Krankheit für Lehrlinge erfolgen?","In der Schweiz ist es für einen Arbeitgeber zulässig, die Ferien eines Lehrlings zu kürzen, wenn der Lehrling aufgrund von Krankheit, Unfall oder Schwangerschaft mehr als einen Monat lang arbeitsunfähig war."
"Ferienabzug bei Krankheit und Karenztage im schweizerischen Lehrlingsgesetz","Nach schweizerischem Recht kann ein Arbeitgeber die Ferien eines Lehrlings kürzen, wenn der Lehrling aufgrund von Krankheit, Unfall oder Schwangerschaft mehr als einen Monat lang arbeitsunfähig war. Dabei darf der Abzug nur für die Tage erfolgen, die über diesen einen Monat hinausgehen. Karenztage, das sind Tage, an denen der Arbeitgeber nicht verpflichtet ist, den Lohn zu zahlen, gelten in diesem Kontext nicht als Arbeitsunfähigkeit.","Wie ist der Ferienabzug bei Krankheit und die Regelung von Karenztagen für Lehrlinge in der Schweiz?","Nach schweizerischem Recht kann ein Arbeitgeber die Ferien eines Lehrlings kürzen, wenn der Lehrling aufgrund von Krankheit, Unfall oder Schwangerschaft mehr als einen Monat lang arbeitsunfähig war."
"Karenztage und Ferienabzug bei Krankheit für Lehrlinge in der Schweiz","In der Schweiz können Arbeitgeber die Ferien eines Lehrlings kürzen, wenn dieser aufgrund von Krankheit, Unfall oder Schwangerschaft mehr als einen Monat arbeitsunfähig war. Allerdings darf der Abzug nur für die Tage erfolgen, die über diesen einen Monat hinausgehen. Karenztage, also Tage, an denen der Arbeitgeber nicht zur Lohnzahlung verpflichtet ist, gelten in diesem Zusammenhang nicht als Arbeitsunfähigkeit.","Wie werden Karenztage und Ferienabzug bei Krankheit für Lehrlinge in der Schweiz gehandhabt?","In der Schweiz können Arbeitgeber die Ferien eines Lehrlings kürzen, wenn dieser aufgrund von Krankheit, Unfall oder Schwangerschaft mehr als einen Monat arbeitsunfähig war."
"Ferien zwischen obligatorischer Schulzeit und Lehrbeginn im schweizerischen Lehrlingsgesetz","In der Schweiz haben Lehrlinge nach Beendigung der obligatorischen Schulzeit und vor Beginn ihrer Lehre Anspruch auf Ferien. Diese Ferienzeit wird nicht auf das Ferienkontingent des Lehrlings angerechnet und sollte eine angemessene Pause zwischen Schulabschluss und Beginn der Ausbildung bieten.","Wie ist die Regelung für Ferien zwischen der obligatorischen Schulzeit und dem Beginn der Lehre in der Schweiz?","In der Schweiz haben Lehrlinge nach Beendigung der obligatorischen Schulzeit und vor Beginn ihrer Lehre Anspruch auf Ferien."
"Regelung für Ferien zwischen Schulabschluss und Lehrbeginn in der Schweiz","Nach schweizerischem Recht haben Lehrlinge nach Abschluss der obligatorischen Schulzeit und vor Beginn ihrer Lehre Anspruch auf Ferien. Diese Zeit wird nicht vom Ferienkontingent des Lehrlings abgezogen und dient dazu, eine angemessene Pause zwischen dem Schulabschluss und dem Beginn der Lehre zu gewährleisten.","Wie sind die Ferien zwischen der obligatorischen Schulzeit und dem Beginn der Lehre in der Schweiz geregelt?","Nach schweizerischem Recht haben Lehrlinge nach Abschluss der obligatorischen Schulzeit und vor Beginn ihrer Lehre Anspruch auf Ferien."
