Kann bei der Rekrutierung der Zeitpunkt des Beginns der Rekrutenschule gewählt werden? Stellungspflichtige werden in der Regel frühestens zwölf Monate und spätestens drei Monate vor Beginn der Rekrutenschule zur Rekrutierung aufgeboten, aber spätestens in dem Jahr, in dem sie das 24. Altersjahr vollenden. Stellungspflichtige, die bis zum vollendeten 21. Altersjahr nicht zur Rekrutierung aufgeboten worden sind, werden durch die Kreiskommandanten oder Kreiskommandantinnen jährlich bezüglich des Zeitpunkts der Rekrutenschule angeschrieben. Bei der Rekrutierung wird die Zuteilung zu einer Rekrutierungsfunktion der Armee, der Beginn (Jahr, Start Winter- oder Sommer-RS) und der Ort der militärischen Ausbildung sowie das Dienstleistungsmodell (WK-Modell oder Durchdienen) festgelegt.|Wann werden Stellungspflichtige in der Regel zur Rekrutierung aufgeboten? | frühestens zwölf Monate und spätestens drei Monate vor Beginn der Rekrutenschule 
Kann bei der Rekrutierung der Zeitpunkt des Beginns der Rekrutenschule gewählt werden? Stellungspflichtige werden in der Regel frühestens zwölf Monate und spätestens drei Monate vor Beginn der Rekrutenschule zur Rekrutierung aufgeboten, aber spätestens in dem Jahr, in dem sie das 24. Altersjahr vollenden. Stellungspflichtige, die bis zum vollendeten 21. Altersjahr nicht zur Rekrutierung aufgeboten worden sind, werden durch die Kreiskommandanten oder Kreiskommandantinnen jährlich bezüglich des Zeitpunkts der Rekrutenschule angeschrieben. Bei der Rekrutierung wird die Zuteilung zu einer Rekrutierungsfunktion der Armee, der Beginn (Jahr, Start Winter- oder Sommer-RS) und der Ort der militärischen Ausbildung sowie das Dienstleistungsmodell (WK-Modell oder Durchdienen) festgelegt.|Bis zu welchem Alter müssen Stellungspflichtige spätestens zur Rekrutierung aufgeboten werden? | in dem Jahr, in dem sie das 24. Altersjahr vollenden 
Kann bei der Rekrutierung der Zeitpunkt des Beginns der Rekrutenschule gewählt werden? Stellungspflichtige werden in der Regel frühestens zwölf Monate und spätestens drei Monate vor Beginn der Rekrutenschule zur Rekrutierung aufgeboten, aber spätestens in dem Jahr, in dem sie das 24. Altersjahr vollenden. Stellungspflichtige, die bis zum vollendeten 21. Altersjahr nicht zur Rekrutierung aufgeboten worden sind, werden durch die Kreiskommandanten oder Kreiskommandantinnen jährlich bezüglich des Zeitpunkts der Rekrutenschule angeschrieben. Bei der Rekrutierung wird die Zuteilung zu einer Rekrutierungsfunktion der Armee, der Beginn (Jahr, Start Winter- oder Sommer-RS) und der Ort der militärischen Ausbildung sowie das Dienstleistungsmodell (WK-Modell oder Durchdienen) festgelegt.|Was passiert, wenn Stellungspflichtige bis zum vollendeten 21. Altersjahr nicht zur Rekrutierung aufgeboten wurden? | werden durch die Kreiskommandanten oder Kreiskommandantinnen jährlich bezüglich des Zeitpunkts der Rekrutenschule angeschrieben 
Kann bei der Rekrutierung der Zeitpunkt des Beginns der Rekrutenschule gewählt werden? Stellungspflichtige werden in der Regel frühestens zwölf Monate und spätestens drei Monate vor Beginn der Rekrutenschule zur Rekrutierung aufgeboten, aber spätestens in dem Jahr, in dem sie das 24. Altersjahr vollenden. Stellungspflichtige, die bis zum vollendeten 21. Altersjahr nicht zur Rekrutierung aufgeboten worden sind, werden durch die Kreiskommandanten oder Kreiskommandantinnen jährlich bezüglich des Zeitpunkts der Rekrutenschule angeschrieben. Bei der Rekrutierung wird die Zuteilung zu einer Rekrutierungsfunktion der Armee, der Beginn (Jahr, Start Winter- oder Sommer-RS) und der Ort der militärischen Ausbildung sowie das Dienstleistungsmodell (WK-Modell oder Durchdienen) festgelegt.|Was wird bei der Rekrutierung festgelegt? | die Zuteilung zu einer Rekrutierungsfunktion der Armee, der Beginn (Jahr, Start Winter- oder Sommer-RS) und der Ort der militärischen Ausbildung sowie das Dienstleistungsmodell (WK-Modell oder Durchdienen) 
Kann der Wiederholungskurs (WK) verschoben werden? Nach der RS und/oder der militärischen Weiterausbildung werden militärdienstpflichtige Männer jährlich bis zur Erfüllung der Gesamtdienstleistungspflicht zu Wiederholungskursen aufgeboten. Wiederholungskurse können auf ein begründetes Gesuch hin verschoben werden. Der verschobene Wiederholungskurs muss nachgeholt werden. Gesuche sind der zuständigen Militärbehörde (Kreiskommando) einzureichen.|Wann werden militärdienstpflichtige Männer zu Wiederholungskursen aufgeboten? | jährlich bis zur Erfüllung der Gesamtdienstleistungspflicht 
Kann der Wiederholungskurs (WK) verschoben werden? Nach der RS und/oder der militärischen Weiterausbildung werden militärdienstpflichtige Männer jährlich bis zur Erfüllung der Gesamtdienstleistungspflicht zu Wiederholungskursen aufgeboten. Wiederholungskurse können auf ein begründetes Gesuch hin verschoben werden. Der verschobene Wiederholungskurs muss nachgeholt werden. Gesuche sind der zuständigen Militärbehörde (Kreiskommando) einzureichen.|Können Wiederholungskurse verschoben werden? | Wiederholungskurse können auf ein begründetes Gesuch hin verschoben werden. 
Kann der Wiederholungskurs (WK) verschoben werden? Nach der RS und/oder der militärischen Weiterausbildung werden militärdienstpflichtige Männer jährlich bis zur Erfüllung der Gesamtdienstleistungspflicht zu Wiederholungskursen aufgeboten. Wiederholungskurse können auf ein begründetes Gesuch hin verschoben werden. Der verschobene Wiederholungskurs muss nachgeholt werden. Gesuche sind der zuständigen Militärbehörde (Kreiskommando) einzureichen.|Muss der verschobene Wiederholungskurs nachgeholt werden? | Der verschobene Wiederholungskurs muss nachgeholt werden. 
Kann der Wiederholungskurs (WK) verschoben werden? Nach der RS und/oder der militärischen Weiterausbildung werden militärdienstpflichtige Männer jährlich bis zur Erfüllung der Gesamtdienstleistungspflicht zu Wiederholungskursen aufgeboten. Wiederholungskurse können auf ein begründetes Gesuch hin verschoben werden. Der verschobene Wiederholungskurs muss nachgeholt werden. Gesuche sind der zuständigen Militärbehörde (Kreiskommando) einzureichen.|An welche Behörde sind Gesuche zur Verschiebung von Wiederholungskursen einzureichen? | der zuständigen Militärbehörde (Kreiskommando) 
Zivildienst Die Dienstleistung in der Armee kann mit unüberwindbaren Gewissenskonflikten verbunden sein. Die Bundesverfassung garantiert in diesen Fällen mit Art. 59 eine Alternative: den zivilen Ersatzdienst. Die Dauer des zivilen Ersatzdienstes beträgt das 1,5-Fache der üblichen militärischen Dienstpflicht. Gleich wie beim Militärdienst besteht auch beim Zivildienst eine Pflicht zur Dienstleistung. Im Falle einer noch nicht abgeschlossenen Berufslehre müssen die Einsätze deshalb mit der Ausbildung koordiniert werden. Wie Angehörige der Armee haben auch Zivildienstleistende Anspruch auf Erwerbsersatz.|Was ist der Zivildienst? | Die Dienstleistung in der Armee kann mit unüberwindbaren Gewissenskonflikten verbunden sein. Die Bundesverfassung garantiert in diesen Fällen mit Art. 59 eine Alternative: den zivilen Ersatzdienst. 
Zivildienst Die Dienstleistung in der Armee kann mit unüberwindbaren Gewissenskonflikten verbunden sein. Die Bundesverfassung garantiert in diesen Fällen mit Art. 59 eine Alternative: den zivilen Ersatzdienst. Die Dauer des zivilen Ersatzdienstes beträgt das 1,5-Fache der üblichen militärischen Dienstpflicht. Gleich wie beim Militärdienst besteht auch beim Zivildienst eine Pflicht zur Dienstleistung. Im Falle einer noch nicht abgeschlossenen Berufslehre müssen die Einsätze deshalb mit der Ausbildung koordiniert werden. Wie Angehörige der Armee haben auch Zivildienstleistende Anspruch auf Erwerbsersatz.|Wie lange dauert der zivile Ersatzdienst? | Die Dauer des zivilen Ersatzdienstes beträgt das 1,5-Fache der üblichen militärischen Dienstpflicht. 
