"Unter dem Begriff «berufliche Grundbildung» versteht man eine Berufsbildung, die in der Regel an die obligatorische Schulzeit anschliesst. Wer eine berufliche Grundbildung durchläuft, lernt alles Wichtige für eine Tätigkeit in einem Beruf. Je nach Dauer und Inhalt wird die berufliche Grundbildung mit einem eidgenössischen Fähigkeitszeugnis EFZ oder mit einem eidgenössischen Berufsattest EBA abgeschlossen.","Was versteht man unter dem Begriff ""berufliche Grundbildung""? "," eine Berufsbildung, die in der Regel an die obligatorische Schulzeit anschliesst. "
"Unter dem Begriff «berufliche Grundbildung» versteht man eine Berufsbildung, die in der Regel an die obligatorische Schulzeit anschliesst. Wer eine berufliche Grundbildung durchläuft, lernt alles Wichtige für eine Tätigkeit in einem Beruf. Je nach Dauer und Inhalt wird die berufliche Grundbildung mit einem eidgenössischen Fähigkeitszeugnis EFZ oder mit einem eidgenössischen Berufsattest EBA abgeschlossen.",Wann schließt die berufliche Grundbildung in der Regel an? , an die obligatorische Schulzeit 
"Unter dem Begriff «berufliche Grundbildung» versteht man eine Berufsbildung, die in der Regel an die obligatorische Schulzeit anschliesst. Wer eine berufliche Grundbildung durchläuft, lernt alles Wichtige für eine Tätigkeit in einem Beruf. Je nach Dauer und Inhalt wird die berufliche Grundbildung mit einem eidgenössischen Fähigkeitszeugnis EFZ oder mit einem eidgenössischen Berufsattest EBA abgeschlossen.",Was lernt man während einer beruflichen Grundbildung? , alles Wichtige für eine Tätigkeit in einem Beruf 
"Unter dem Begriff «berufliche Grundbildung» versteht man eine Berufsbildung, die in der Regel an die obligatorische Schulzeit anschliesst. Wer eine berufliche Grundbildung durchläuft, lernt alles Wichtige für eine Tätigkeit in einem Beruf. Je nach Dauer und Inhalt wird die berufliche Grundbildung mit einem eidgenössischen Fähigkeitszeugnis EFZ oder mit einem eidgenössischen Berufsattest EBA abgeschlossen.",Welche Abschlüsse gibt es bei der beruflichen Grundbildung? , eidgenössischen Fähigkeitszeugnis EFZ oder mit einem eidgenössischen Berufsattest EBA 
"Unter dem Begriff «berufliche Grundbildung» versteht man eine Berufsbildung, die in der Regel an die obligatorische Schulzeit anschliesst. Wer eine berufliche Grundbildung durchläuft, lernt alles Wichtige für eine Tätigkeit in einem Beruf. Je nach Dauer und Inhalt wird die berufliche Grundbildung mit einem eidgenössischen Fähigkeitszeugnis EFZ oder mit einem eidgenössischen Berufsattest EBA abgeschlossen.","Womit wird die berufliche Grundbildung abgeschlossen, wenn sie je nach Dauer und Inhalt variiert? ", mit einem eidgenössischen Fähigkeitszeugnis EFZ oder mit einem eidgenössischen Berufsattest EBA 
"Die berufliche Grundbildung mit eidgenössischem Fähigkeitszeugnis dauert drei oder vier Jahre. Der Abschluss ist eidgenössisch anerkannt und weist aus, dass die Absolventin oder der Absolvent die auf dem Arbeitsmarkt geforderten Voraussetzungen zur Ausübung eines Berufs mitbringt.",Wie lange dauert die berufliche Grundbildung mit eidgenössischem Fähigkeitszeugnis? , drei oder vier Jahre 
"Die berufliche Grundbildung mit eidgenössischem Fähigkeitszeugnis dauert drei oder vier Jahre. Der Abschluss ist eidgenössisch anerkannt und weist aus, dass die Absolventin oder der Absolvent die auf dem Arbeitsmarkt geforderten Voraussetzungen zur Ausübung eines Berufs mitbringt.",Ist der Abschluss der beruflichen Grundbildung eidgenössisch anerkannt? , eidgenössisch anerkannt 
"Die berufliche Grundbildung mit eidgenössischem Fähigkeitszeugnis dauert drei oder vier Jahre. Der Abschluss ist eidgenössisch anerkannt und weist aus, dass die Absolventin oder der Absolvent die auf dem Arbeitsmarkt geforderten Voraussetzungen zur Ausübung eines Berufs mitbringt.",Was weist das eidgenössische Fähigkeitszeugnis aus? , dass die Absolventin oder der Absolvent die auf dem Arbeitsmarkt geforderten Voraussetzungen zur Ausübung eines Berufs mitbringt. 
"Die Bildung findet an den drei Lernorten Lehrbetrieb, Berufsfachschule und überbetriebliches Kurszentrum statt. Die Ziele, die Bildungsinhalte und deren Aufteilung auf die Lernorte sind in den Bildungsverordnungen für die einzelnen Berufe respektive im jeweiligen Bildungsplan festgelegt. Die Verantwortlichen der drei Lernorte stimmen die Bildungsplanung gegenseitig ab.",Wo findet die Bildung statt? ," an den drei Lernorten Lehrbetrieb, Berufsfachschule und überbetriebliches Kurszentrum "
"Die Bildung findet an den drei Lernorten Lehrbetrieb, Berufsfachschule und überbetriebliches Kurszentrum statt. Die Ziele, die Bildungsinhalte und deren Aufteilung auf die Lernorte sind in den Bildungsverordnungen für die einzelnen Berufe respektive im jeweiligen Bildungsplan festgelegt. Die Verantwortlichen der drei Lernorte stimmen die Bildungsplanung gegenseitig ab.",Was ist in den Bildungsverordnungen festgelegt? ," Die Ziele, die Bildungsinhalte und deren Aufteilung auf die Lernorte "
